Genome	Downdb name	Fieldname Prefix	dbtype	Type	Done		
hg19 	esp6500_all 	esp6500_all 	esp6500_all 	variant_other	0	same as above 	index updated 2012Jun21
hg18 	esp6500si_aa 	esp6500si_aa 	esp6500si_aa 	variant_other	0	"alternative allele frequency in African Americans in the NHLBI-ESP project with 6500 exomes, including the indel calls and the chrY calls "	file and index updated 2013Jan22
hg19 	esp6500si_aa 	esp6500si_aa 	esp6500si_aa 	variant_other	0	same as above 	file and index updated 2013Jan22
hg18 	esp6500si_ea 	esp6500si_ea 	esp6500si_ea 	variant_other	0	"alternative allele frequency in European Americans in the NHLBI-ESP project with 6500 exomes, including the indel calls and the chrY calls "	file and index updated 2013Jan22
hg19 	esp6500si_ea 	esp6500si_ea 	esp6500si_ea 	variant_other	0	same as above 	file and index updated 2013Jan22
hg18 	esp6500si_all 	esp6500si_all 	esp6500si_all 	variant_other	0	"alternative allele frequency in all subjects in the NHLBI-ESP project with 6500 exomes, including the indel calls and the chrY calls "	file and index updated 2013Jan22
hg19 	esp6500si_all 	esp6500si_all 	esp6500si_all 	variant_other	0	same as above 	file and index updated 2013Jan22
hg18 	snp128 	snp128 	snp128 	variant_snp	0	dbSNP with ANNOVAR index files 	index updated 2012Feb22
hg18 	snp129 	snp129 	snp129 	variant_snp	0	same as above 	index updated 2012Feb22
hg19 	snp129 	snp129 	snp129 	variant_snp	0	"liftover from hg18_snp129.txt. This is the last pristine dbSNP to be used in benchmarking studies, etc "	file and index updated 2012Aug09
hg18 	snp130 	snp130 	snp130 	variant_snp	0	same as above 	index updated 2012Feb22
hg19 	snp130 	snp130 	snp130 	variant_snp	0	same as above 	index updated 2012Feb22
hg18 	snp131 	snp131 	snp131 	variant_snp	0	same as above 	index updated 2012Feb22
hg19 	snp131 	snp131 	snp131 	variant_snp	0	same as above 	index updated 2012Feb22
hg18 	snp132 	snp132 	snp132 	variant_snp	0	same as above 	index updated 2012Feb22
hg19 	snp132 	snp132 	snp132 	variant_snp	0	same as above 	index updated 2012Feb22
hg18 	snp135 	snp135 	snp135 	variant_snp	0	"I lifted over SNP135 to hg18, to help researchers working with hg18 coordinates "	index and file updated 20120820
hg19 	snp135 	snp135 	snp135 	variant_snp	0	same as above 	file and index updated 2012Feb22
hg19 	snp137 	snp137 	snp137 	variant_snp	0	same as above 	file and index updated 20130109
hg18 	snp128NonFlagged 	snp128NonFlagged 	snp128NonFlagged 	variant_snp	0	"dbSNP with ANNOVAR index files, after removing those flagged SNPs (SNPs < 1% minor allele frequency (MAF) (or unknown), mapping only once to reference assembly, flagged in dbSnp as ""clinically associated"") "	file and index updated 2012May24
hg18 	snp129NonFlagged 	snp129NonFlagged 	snp129NonFlagged 	variant_snp	0	same as above 	file and index updated 2012May24
hg18 	snp130NonFlagged 	snp130NonFlagged 	snp130NonFlagged 	variant_snp	0	same as above 	file and index updated 2012May24
hg19 	snp130NonFlagged 	snp130NonFlagged 	snp130NonFlagged 	variant_snp	0	same as above 	file and index updated 2012May24
hg18 	snp131NonFlagged 	snp131NonFlagged 	snp131NonFlagged 	variant_snp	0	same as above 	file and index updated 2012May24
hg19 	snp131NonFlagged 	snp131NonFlagged 	snp131NonFlagged 	variant_snp	0	same as above 	file and index updated 2012May24
hg18 	snp132NonFlagged 	snp132NonFlagged 	snp132NonFlagged 	variant_snp	0	same as above 	file and index updated 2012May24
hg19 	snp132NonFlagged 	snp132NonFlagged 	snp132NonFlagged 	variant_snp	0	same as above 	file and index updated 2012May24
hg19 	snp135NonFlagged 	snp135NonFlagged 	snp135NonFlagged 	variant_snp	0	same as above 	file and index updated 2012May24
hg19 	snp137NonFlagged 	snp137NonFlagged 	snp137NonFlagged 	variant_snp	0	same as above 	file and index updated 20130109
hg19 	nci60 	nci60 	nci60 	variant_other	0	NCI-60 human tumor cell line panel exome sequencing allele frequency data 	file and index updated 20130724
hg18 	popfreq_max 	popfreq_max 	popfreq_max 	variant_other	0	A database containing the maximum allele frequency from these tables: 1000G2012APR_ALL 1000G2012APR_AFR 1000G2012APR_AMR 1000G2012APR_ASN 1000G2012APR_EUR ESP6500si_AA ESP6500si_EA CG46 	file and index updated 20130821
hg19 	popfreq_max 	popfreq_max 	popfreq_max 	variant_other	0	same as above 	file and index updated 20130821
hg18 	refGene 	refGene 	refGene 	gene	0	FASTA sequences for all annotated transcripts in RefSeq Gene 	file updated 2013feb11
hg19 	refGene 	refGene 	refGene 	gene	0	same as above 	file updated 2013feb11
hg18 	knownGene 	knownGene 	knownGene 	gene	0	FASTA sequences for all annotated transcripts in UCSC Known Gene 	file updated 2013feb11
hg19 	knownGene 	knownGene 	knownGene 	gene	0	same as above 	file updated 2013feb11
hg18 	ensGene 	ensGene 	ensGene 	gene	0	FASTA sequences for all annotated transcripts in ENSEMBL Gene 	file updated 2013feb11
hg19 	ensGene 	ensGene 	ensGene 	gene	0	same as above 	file updated 2013feb11
hg18 	gerp++elem 	gerp++elem 	gerp++elem 	region_bed	0	conserved genomic regions by GERP++ 	"this is region-based score, not base-level score"
hg19 	gerp++elem 	gerp++elem 	gerp++elem 	region_bed	0	same as above 	same as above
mm9 	gerp++elem 	gerp++elem 	gerp++elem 	region_bed	0	same as above 	same as above
hg18 	gerp++gt2 	gerp++gt2 	gerp++gt2 	variant_other	0	whole-genome GERP++ scores greater than 2 (RS score threshold of 2 provides high sensitivity while still strongly enriching for truly constrained sites. ) 	file and index updated 2012jun21
hg19 	gerp++gt2 	gerp++gt2 	gerp++gt2 	variant_other	0	same as above 	file and index updated 2012jun21 
hg18 	1000g_yri	1000g_yri	1000g_yri	variant_1000g	0	alternative allele frequency data in 1000 Genomes Project 	
hg18 	1000g_ceu	1000g_ceu	1000g_ceu	variant_1000g	0		
hg18 	1000g_jptchb	1000g_jptchb	1000g_jptchb	variant_1000g	0		
hg18 	1000g2010_yri	1000g2010_yri	1000g2010_yri	variant_1000g	0	same as above 	
hg18 	1000g2010_ceu	1000g2010_ceu	1000g2010_ceu	variant_1000g	0		
hg18 	1000g2010_jptchb	1000g2010_jptchb	1000g2010_jptchb	variant_1000g	0		
hg18 	1000g2010jul_yri	1000g2010jul_yri	1000g2010jul_yri	variant_1000g	0	same as above 	
hg18 	1000g2010jul_ceu	1000g2010jul_ceu	1000g2010jul_ceu	variant_1000g	0		
hg18 	1000g2010jul_jptchb	1000g2010jul_jptchb	1000g2010jul_jptchb	variant_1000g	0		
hg18 	1000g2012apr	1000g2012apr_all	1000g2012apr_all	variant_1000g	0	"Note: to download file, use 1000g2012apr. To process file, use 1000g2012apr_all"	
hg19 	1000g2010nov	1000g2010nov_all	1000g2010nov_all	variant_1000g	0	"Note: To download file, use 1000g2010 nov.  To process file, use 1000g2010nov_all"	
hg19 	1000g2011may	1000g2011may_all	1000g2011may_all	variant_1000g	0	See above	
hg19 	1000g2012feb	1000g2012feb_all	1000g2012feb_all	variant_1000g	0	See above	
hg19 	1000g2012apr	1000g2012apr_all	1000g2012apr_all	variant_1000g	0	See above	
